2,3
4,7
6,23
8,89
10,139
12,199
14,113
16,1831
18,523
20,887
22,1129
24,1669
26,2477
28,2971
30,4297
32,5591
34,1327
36,9551
38,30593
40,19333
42,16141
44,15683
46,81463
48,28229
50,31907
52,19609
54,35617
56,82073
58,44293
60,43331
62,34061
64,89689
66,162143
68,134513
70,173359
72,31397
74,404597
76,212701
78,188029
80,542603
82,265621
84,461717
86,155921
88,544279
90,404851
92,927869
94,1100977
96,360653
98,604073
100,396733
102,1444309
104,1388483
106,1098847
108,2238823
110,1468277
112,370261
114,492113
116,5845193
118,1349533
120,1895359
122,3117299
124,6752623
126,1671781
128,3851459
130,5518687
132,1357201
134,6958667
136,6371401
138,3826019
140,7621259
142,10343761
144,11981443
146,6034247
148,2010733
150,13626257
152,8421251
154,4652353
156,17983717
158,49269581
160,33803689
162,39175217
164,20285099
166,83751121
168,37305713
170,27915737
172,38394127
174,52721113
176,38089277
178,39389989
180,17051707
182,36271601
184,79167733
186,147684137
188,134065829
190,142414669
192,123454691
194,166726367
196,70396393
198,46006769
200,378043979
202,107534587
204,112098817
206,232423823
208,192983851
210,20831323
212,215949407
214,253878403
216,202551667
218,327966101
220,47326693
222,122164747
224,409866323
226,519653371
228,895858039
230,607010093
232,525436489
234,189695659
236,216668603
238,673919143
240,391995431
242,367876529
244,693103639
246,555142061
248,191912783
250,387096133
252,630045137
254,1202442089
256,1872851947
258,1316355323
260,944192807
262,1649328997
264,2357881993
266,1438779821
268,1579306789
270,1391048047
272,1851255191
274,1282463269
276,649580171
278,4260928601
280,1855047163
282,436273009
284,1667186459
286,2842739311
288,1294268491
290,1948819133
292,1453168141
294,5692630189
296,5260030511
298,8650524583
300,4758958741
302,6675573497
304,2433630109
306,3917587237
308,5490459101
310,4024713661
312,6570018347
314,8948418749
316,12109172293
318,4372999721
320,2300942549
322,7961074441
324,10958687879
326,5837935373
328,13086861181
330,6291356009
332,5893180121
334,30827138509
336,3842610773
338,22076314313
340,8605261447
342,12010745569
344,19724087267
